filename,Price,Promotion Time,Discount
1592718329125_jldh3xpe6gc_jpg.rf.e1028e7e48f0a1c8c4a6edff952c1888.jpg,"1,500",01/01/2023-20/01/2023,70%
1590383687688_h4hs1v687v4_jpg.rf.e22fba8ebcfdb92c923f9cc39416bf10.jpg,"1,500",01/01/2023-20/01/2023,70%
1607229642296_npe7ehnn9wc_jpg.rf.e2eb54da5cc536b71bb3f66261c0b3a5.jpg,"1,500",01/01/2023-20/01/2023,70%
1604722075717_4qyerkbe0sa_jpg.rf.e497fcb673898eb0d0b6f0cc216166a4.jpg,"1,500",01/01/2023-20/01/2023,70%
1593622983649_hh5o06mgrz_jpg.rf.e59fa0353d2c64a7fcc535c8f7b3970e.jpg,"1,500",01/01/2023-20/01/2023,70%
1608772472671_37skj9e1fks_jpg.rf.e6c77a1a2675915d282fc747b0641bfe.jpg,"1,500",01/01/2023-20/01/2023,70%
1595057920675_0dj3klatlp8_jpg.rf.e8e1af997c92c5ec688d47fc636633c2.jpg,"1,500",01/01/2023-20/01/2023,70%
1608111313801_rs5zm1bmxg_jpg.rf.eab9c61c6410fe3dba5bf37f35e52487.jpg,"1,500",01/01/2023-20/01/2023,70%
1589697104884_sme2jhd8qxs_jpg.rf.ed8e520edad7820388a917593d3407dc.jpg,"1,500",01/01/2023-20/01/2023,70%
1598235994731_3cg5iglmujl_jpg.rf.ee8f21fece7f7be9cf8df4b4406a926f.jpg,"1,500",01/01/2023-20/01/2023,70%
1584664774345_nvgh5hyrcr_jpg.rf.f13e6f71ff83a9cf137b16b7681dcd03.jpg,"1,500",01/01/2023-20/01/2023,70%
1604390048083_s8n8yfridmt_jpg.rf.f17f2231be9361fbe8db752c951c2d3e.jpg,"1,500",01/01/2023-20/01/2023,70%
1593418277641_nfdt9ge5mbr_jpg.rf.f1be94d3883015846972e1f9f29f1da9.jpg,"1,500",01/01/2023-20/01/2023,70%
1598069601255_60ik79pxe26_jpg.rf.f2619fe409693a094ae9ca38bd02d78e.jpg,"1,500",01/01/2023-20/01/2023,70%
1590593966757_86m8ws0avd9_jpg.rf.f2d24adee87a62c804dc38ff376e872b.jpg,"1,500",01/01/2023-20/01/2023,70%
1623725937423_9vznonud5u_jpg.rf.f4df31c1739f187e084a998ddfc915d9.jpg,"1,500",01/01/2023-20/01/2023,70%
1606966773897_s2zp2uhmz1m_jpg.rf.f59a536221dc7422893f1f46f5003abd.jpg,"1,500",01/01/2023-20/01/2023,70%
1590488087240_r2olfbywptl_jpg.rf.f673395ce0b1196b7b8e05d824c6db7b.jpg,"1,500",01/01/2023-20/01/2023,70%
1603254037044_g01mze81fqg_jpg.rf.f69b566d5b216f11fdd21e55a3ffff6c.jpg,"1,500",01/01/2023-20/01/2023,70%
1608992205597_28k6hkv8l97_jpg.rf.fa1348e2c1170ccea3c2684b120033de.jpg,"1,500",01/01/2023-20/01/2023,70%
1590383687670_d7wgadtnklg_jpg.rf.fa1b655a6be5be40170285a7e6f8c58f.jpg,"1,500",01/01/2023-20/01/2023,70%
1591937347576_jgty6z9rq5_jpg.rf.fa8bebe6659dcf839f9f31a98ff6c904.jpg,"1,500",01/01/2023-20/01/2023,70%
1590053867131_1yequiyitgd_jpg.rf.fc7bd20f1ec5890c6f81ac419e1eaaa7.jpg,"1,500",01/01/2023-20/01/2023,70%
1605771823907_t49966gtnkr_jpg.rf.fcf5d9bbd0dc7b4fd46b5c3121642b8f.jpg,"1,500",01/01/2023-20/01/2023,70%
1604806119354_iszd7rda8pf_jpg.rf.fdf6d8506dbf7532932f5ffb8e92a64a.jpg,"1,500",01/01/2023-20/01/2023,70%
1601657777026_8wopw1agl8t_jpg.rf.feeb170e0d205b9344cc4cc81a19a2a6.jpg,"1,500",01/01/2023-20/01/2023,70%
1601971364157_v76pml5md7s_jpg.rf.ffce9eaf57b2932260960bd48fda9125.jpg,"1,800",02/01/2023-22/01/2023,75%
1603766936417_zpk18xml5jj_jpg.rf.0062ad526306bfcb3a27f35de5aa41bb.jpg,"1,800",02/01/2023-22/01/2023,75%
1604072536868_u3movl8jjnf_jpg.rf.007da09d0721762f27865424362f55cd.jpg,"1,800",02/01/2023-22/01/2023,75%
1624855771688_x9aqcn5uj48_jpg.rf.03a82e9d492ab03282cb9ff907928d31.jpg,"1,800",02/01/2023-22/01/2023,75%
1623504676530_hc4qo9c6dvj_jpg.rf.04211395c8c01369c2f40b569d5e791c.jpg,"1,800",02/01/2023-22/01/2023,75%
1605156753701_55pjedhs2rr_jpg.rf.0463023d7ad6ddc5eb46c77999ad960a.jpg,"1,800",02/01/2023-22/01/2023,75%
1625283970979_fl2vsa5wjf9_jpg.rf.04abddb69a2f48e7db682b6c9dbbdfde.jpg,"1,800",02/01/2023-22/01/2023,75%
1584427402124_x598574s4qg_jpg.rf.05d5ff41e91fcb0fe93a630b39965c1a.jpg,"1,800",02/01/2023-22/01/2023,75%
1596875641066_x26a1v6h2th_jpg.rf.067b97c37bd831b39cbdb4abe1ab45b2.jpg,"1,800",02/01/2023-22/01/2023,75%
1601959387853_7k39p22bnat_jpg.rf.0695236dda0a6b01042343f017105a39.jpg,"1,800",02/01/2023-22/01/2023,75%
1606472345226_aalc9jjsk8h_jpg.rf.069605dc8e89bde11dff0672236c71e1.jpg,"1,800",02/01/2023-22/01/2023,75%
1592542503602_5l6ea017266_jpg.rf.07099793ae19ca1e8cc16f3aee3614be.jpg,"1,800",02/01/2023-22/01/2023,75%
1608110780025_94wvdhes4x7_jpg.rf.0aca93a76dd79e341a041020b5dc01bf.jpg,"1,800",02/01/2023-22/01/2023,75%
1606966769664_jg6oglc8i1_jpg.rf.0dbf2c2673794b7a603e47212d226699.jpg,"1,800",02/01/2023-22/01/2023,75%
1623472015716_omk5f1sbqel_jpg.rf.0dd5bc19bda4005a1d114c073de5c9ff.jpg,"1,800",02/01/2023-22/01/2023,75%
1583208368007_3cep7zwjzfx_jpg.rf.0f06599b10286db4f912091da9d532a7.jpg,"1,800",02/01/2023-22/01/2023,75%
1591248104656_49eh3oe3n7r_jpg.rf.10d2c772166fcceba482032394aa5758.jpg,"1,800",02/01/2023-22/01/2023,75%
1599618418956_gmg0lc83wic_jpg.rf.11df40e082a9666e1e7d7cb2ec04a12f.jpg,"1,800",02/01/2023-22/01/2023,75%
1584427414245_te74m824du8_jpg.rf.133ce59da9c653421b8118ea73daff57.jpg,"1,800",02/01/2023-22/01/2023,75%
1602148829118_qqr6p3ay65_jpg.rf.1385ac114b869783eec9a0e7b85f9acf.jpg,"1,800",02/01/2023-22/01/2023,75%
1590033915836_221hutpdt8i_jpg.rf.166295d97622a8084d4580e9782a9dcf.jpg,"1,800",02/01/2023-22/01/2023,75%
1591259613262_stf8s2sgzzm_jpg.rf.13bfe3013935684b7ff94b7d3944cd28.jpg,"1,800",02/01/2023-22/01/2023,75%
1590397873511_1gkf8msupvo_jpg.rf.14a5a727ecebb7b0a0d98257f2f10b22.jpg,"1,800",02/01/2023-22/01/2023,75%
1602147838696_fnwedrslre5_jpg.rf.19db4e29b685b3adf565eeb3004fea9e.jpg,"1,800",02/01/2023-22/01/2023,75%
1625198698861_cj286uidq9_jpg.rf.10056edf5b096503f15d0e6e978221e1.jpg,"1,800",02/01/2023-22/01/2023,75%
1626679748225_1rcscvuov7b_jpg.rf.15801d354c0a682e1924fedd8ef81232.jpg,"1,800",02/01/2023-22/01/2023,75%
1607916968358_nggryxtmvoi_jpg.rf.1aff361e16f7a6a6ca0823b655891850.jpg,"1,800",02/01/2023-22/01/2023,75%
1621517493438_32ef342q6vb_jpg.rf.1b6feb546557c519dfb81348cd603b5e.jpg,"1,800",02/01/2023-22/01/2023,75%
1623725937424_3lbvu4wjreu_jpg.rf.1c567dc37731ddb0dab53d62baea45c0.jpg,"1,800",02/01/2023-22/01/2023,75%
1583208368012_4jbm1vxxdp7_jpg.rf.1d95664787da575805c3ac6fa54562a1.jpg,"1,950",03/01/2023-23/01/2023,65%
1591352169338_khf41is5oh_jpg.rf.206c0ae67b213fc4978f6fe65fcc787e.jpg,"1,950",03/01/2023-23/01/2023,65%
1593621077246_qhoxtmgjejf_jpg.rf.1f00bc5ae2934716543f4bcc41d61f34.jpg,"1,950",03/01/2023-23/01/2023,65%
1607936445635_9fwdu44safi_jpg.rf.1f685cb9467e625c4437e8c4952dec57.jpg,"1,950",03/01/2023-23/01/2023,65%
1590593966769_tji347l9m8r_jpg.rf.2164682e1e6976ec26d0b9714eb50f16.jpg,"1,950",03/01/2023-23/01/2023,65%
1589788693418_g05azl1tmfo_jpg.rf.23b6ea9ad210603ea8a6d51fac33d974.jpg,"1,950",03/01/2023-23/01/2023,65%
1625468701359_77bfsfw8qfl_jpg.rf.226ecf49fe4444397b1f0366ac676867.jpg,"1,950",03/01/2023-23/01/2023,65%
